date,return,equity,equity_usd,bh_sp500
2018-01-02,0.0000,1.0000,50000.0000,50000.0000
2018-01-03,0.0028,1.0028,50140.0000,50319.9400
2018-01-04,-0.0012,1.0016,50080.0000,50522.6600
2018-01-05,0.0030,1.0047,50235.0000,50878.0300
2018-01-08,0.0009,1.0056,50280.0000,50962.6000
2018-01-09,-0.0014,1.0041,50205.0000,51029.0000
2018-01-10,-0.0044,0.9997,49985.0000,50972.2500
2018-01-11,-0.0035,0.9962,49810.0000,51330.7700
2018-01-12,0.0030,0.9991,49955.0000,51677.2300
2018-01-16,0.0060,1.0052,50260.0000,51495.1000
2018-01-17,0.0005,1.0057,50285.0000,51979.9200
2018-01-18,-0.0030,1.0026,50130.0000,51895.9000
2018-01-19,0.0007,1.0033,50165.0000,52123.4800
2018-01-22,-0.0011,1.0022,50110.0000,52543.9500
2018-01-23,0.0018,1.0040,50200.0000,52658.2000
2018-01-24,0.0012,1.0052,50260.0000,52628.7100
2018-01-25,0.0057,1.0110,50550.0000,52660.4200
2018-01-26,0.0010,1.0120,50600.0000,53283.9900
2018-01-29,0.0005,1.0126,50630.0000,52925.2800
2018-01-30,-0.0019,1.0106,50530.0000,52348.4600
2018-01-31,-0.0009,1.0097,50485.0000,52374.0500
2018-02-01,-0.0001,1.0096,50480.0000,52340.1100
2018-02-02,0.0013,1.0109,50545.0000,51230.0500
2018-02-05,0.0015,1.0124,50620.0000,49130.6900
2018-02-06,0.0045,1.0170,50850.0000,49987.5700
2018-02-07,-0.0022,1.0148,50740.0000,49737.5500
2018-02-08,0.0045,1.0193,50965.0000,47870.5800
2018-02-09,0.0019,1.0212,51060.0000,48585.5800
2018-02-12,0.0009,1.0221,51105.0000,49261.6300
2018-02-13,-0.0001,1.0220,51100.0000,49390.3500
2018-02-14,0.0004,1.0224,51120.0000,50052.3000
2018-02-15,0.0054,1.0279,51395.0000,50656.3900
2018-02-16,-0.0002,1.0277,51385.0000,50675.3100
2018-02-20,-0.0032,1.0245,51225.0000,50379.2900
2018-02-21,-0.0013,1.0231,51155.0000,50102.3800
2018-02-22,-0.0011,1.0220,51100.0000,50151.1600
2018-02-23,-0.0000,1.0219,51095.0000,50955.0000
2018-02-26,0.0006,1.0225,51125.0000,51554.0800
2018-02-27,-0.0002,1.0223,51115.0000,50898.9900
2018-02-28,0.0016,1.0240,51200.0000,50334.2200
