ts_utc,as_of_date,asset,phase,dry_run,conviction,signal,target_signed_lots,close_price,decision,action
2026-06-28T22:05:06.693651+00:00,2026-06-26,AUDJPY,p1,False,-0.4,-1,-1.05,111.62699890136719,SHORT,OPEN_SHORT
2026-06-28T22:05:07.280763+00:00,2026-06-26,AUDUSD,p1,False,-0.04809306997607461,0,0.0,0.6900501847267151,FLAT,NO_POSITION
2026-06-28T22:05:08.177904+00:00,2026-06-26,EURGBP,p1,False,-0.6,-1,-3.65,0.861329972743988,SHORT,OPEN_SHORT
2026-06-28T22:05:08.536515+00:00,2026-06-26,EURUSD,p1,False,-0.2662553017931284,0,0.0,1.1361699104309082,FLAT,NO_POSITION
2026-06-28T22:05:09.436633+00:00,2026-06-26,GBPJPY,p1,False,-0.37858953711846144,-1,-0.93,213.3699951171875,SHORT,OPEN_SHORT
2026-06-28T22:05:10.635026+00:00,2026-06-26,GBPUSD,p1,False,-0.4,-1,-1.0,1.318791389465332,SHORT,OPEN_SHORT
2026-06-28T22:05:11.526540+00:00,2026-06-26,NZDUSD,p1,False,-0.6,-1,-0.99,0.5643309354782104,SHORT,OPEN_SHORT
2026-06-28T22:05:12.459732+00:00,2026-06-26,USDCAD,p1,False,0.4,1,2.5100000000000002,1.4200600385665894,LONG,OPEN_LONG
2026-06-28T22:05:12.929456+00:00,2026-06-26,USDCHF,p1,False,0.0,0,0.0,0.8105199933052063,FLAT,NO_POSITION
2026-06-28T22:05:13.425830+00:00,2026-06-26,USDJPY,p1,False,-0.2,0,0.0,161.80499267578125,FLAT,NO_POSITION
2026-06-29T22:05:11.396276+00:00,2026-06-29,AUDJPY,p1,False,-0.3106046213435689,0,0.0,111.52899932861328,FLAT,EXIT_SHORT
2026-06-29T22:05:12.404374+00:00,2026-06-29,AUDUSD,p1,False,-0.6,-1,-1.05,0.6891323924064636,SHORT,OPEN_SHORT
2026-06-29T22:05:13.450818+00:00,2026-06-29,EURGBP,p1,False,-0.2,0,0.0,0.8615000247955322,FLAT,EXIT_SHORT
2026-06-29T22:05:14.113438+00:00,2026-06-29,EURUSD,p1,False,0.0,0,0.0,1.1428571939468384,FLAT,NO_POSITION
2026-06-29T22:05:15.168091+00:00,2026-06-29,GBPJPY,p1,False,0.22141046288153854,0,0.0,214.67100524902344,FLAT,EXIT_SHORT
2026-06-29T22:05:16.240290+00:00,2026-06-29,GBPUSD,p1,False,0.2,0,0.0,1.3258028030395508,FLAT,EXIT_SHORT
2026-06-29T22:05:16.708838+00:00,2026-06-29,NZDUSD,p1,False,-0.5156154633794175,-1,-1.05,0.5653870105743408,SHORT,HOLD_SHORT
2026-06-29T22:05:17.310632+00:00,2026-06-29,USDCAD,p1,False,0.4,1,2.36,1.4208799600601196,LONG,HOLD_LONG
2026-06-29T22:05:17.908532+00:00,2026-06-29,USDCHF,p1,False,-0.18814438272649733,0,0.0,0.8072599768638611,FLAT,NO_POSITION
2026-06-29T22:05:18.371151+00:00,2026-06-29,USDJPY,p1,False,0.0,0,0.0,161.92100524902344,FLAT,NO_POSITION
2026-06-30T22:05:10.718158+00:00,2026-06-30,AUDJPY,p1,False,-0.08973244542524303,0,0.0,112.50800323486328,FLAT,NO_POSITION
2026-06-30T22:05:11.750475+00:00,2026-06-30,AUDUSD,p1,False,0.0,0,0.0,0.6921852231025696,FLAT,EXIT_SHORT
2026-06-30T22:05:12.744515+00:00,2026-06-30,EURGBP,p1,False,-0.4,-1,-3.54,0.8612800240516663,SHORT,OPEN_SHORT
2026-06-30T22:05:13.299521+00:00,2026-06-30,EURUSD,p1,False,0.3337446982068716,0,0.0,1.1425960063934326,FLAT,NO_POSITION
2026-06-30T22:05:13.841992+00:00,2026-06-30,GBPJPY,p1,False,0.27582169918655747,0,0.0,215.5709991455078,FLAT,NO_POSITION
2026-06-30T22:05:14.630085+00:00,2026-06-30,GBPUSD,p1,False,0.2,0,0.0,1.326066493988037,FLAT,NO_POSITION
2026-06-30T22:05:16.018293+00:00,2026-06-30,NZDUSD,p1,False,0.37422197310576616,1,1.16,0.5679236650466919,LONG,REVERSE_TO_LONG
2026-06-30T22:05:16.372004+00:00,2026-06-30,USDCAD,p1,False,0.6,1,2.64,1.4193899631500244,LONG,HOLD_LONG
