date,balance,equity,peak_equity,drawdown_pct,daily_pnl,bh_sp500
2018-01-01,50000.0000,50000.0000,50000.0000,0.0000,0.0000,50000.0000
2018-01-02,50000.0000,50000.0000,50000.0000,0.0000,0.0000,50000.0000
2018-01-03,50139.2200,50139.2200,50139.2200,0.0000,139.2200,50319.9400
2018-01-04,49953.9100,49953.9100,50139.2200,0.3696,-185.3100,50522.6600
2018-01-05,50189.4200,50189.4200,50189.4200,0.0000,235.5200,50878.0300
2018-01-08,50250.3700,50250.3700,50250.3700,0.0000,60.9400,50962.6000
2018-01-09,50095.5600,50095.5600,50250.3700,0.3081,-154.8000,51029.0000
2018-01-10,49854.5300,49854.5300,50250.3700,0.7877,-241.0300,50972.2500
2018-01-11,49582.5700,49582.5700,50250.3700,1.3289,-271.9700,51330.7700
2018-01-12,49729.6900,49729.6900,50250.3700,1.0362,147.1300,51677.2300
2018-01-16,50187.4400,50187.4400,50250.3700,0.1252,457.7500,51495.1000
2018-01-17,50177.3100,50177.3100,50250.3700,0.1454,-10.1300,51979.9200
2018-01-18,50174.6600,50174.6600,50250.3700,0.1507,-2.6500,51895.9000
2018-01-19,50174.6600,50174.6600,50250.3700,0.1507,0.0000,52123.4800
2018-01-22,50174.6600,50174.6600,50250.3700,0.1507,0.0000,52543.9500
2018-01-23,50389.8000,50389.8000,50389.8000,0.0000,215.1400,52658.2000
2018-01-24,50362.5100,50362.5100,50389.8000,0.0542,-27.2900,52628.7100
2018-01-25,50354.6000,50354.6000,50389.8000,0.0699,-7.9100,52660.4200
2018-01-26,50316.4600,50316.4600,50389.8000,0.1456,-38.1500,53283.9900
2018-01-29,50076.2700,50076.2700,50389.8000,0.6222,-240.1900,52925.2800
2018-01-30,50071.4000,50071.4000,50389.8000,0.6319,-4.8700,52348.4600
2018-01-31,50071.4000,50071.4000,50389.8000,0.6319,0.0000,52374.0500
2018-02-01,50071.4000,50071.4000,50389.8000,0.6319,0.0000,52340.1100
2018-02-02,50417.6600,50417.6600,50417.6600,0.0000,346.2600,51230.0500
2018-02-05,50409.5900,50409.5900,50417.6600,0.0160,-8.0700,49130.6900
2018-02-06,51038.9300,51038.9300,51038.9300,0.0000,629.3400,49987.5700
2018-02-07,50925.8500,50925.8500,51038.9300,0.2216,-113.0800,49737.5500
2018-02-08,51105.3500,51105.3500,51105.3500,0.0000,179.5000,47870.5800
2018-02-09,51142.5800,51142.5800,51142.5800,0.0000,37.2300,48585.5800
2018-02-12,51252.3200,51252.3200,51252.3200,0.0000,109.7400,49261.6300
2018-02-13,51248.1400,51248.1400,51252.3200,0.0082,-4.1800,49390.3500
2018-02-14,51248.1400,51248.1400,51252.3200,0.0082,0.0000,50052.3000
2018-02-15,51565.7600,51565.7600,51565.7600,0.0000,317.6200,50656.3900
2018-02-16,51561.6900,51561.6900,51565.7600,0.0079,-4.0600,50675.3100
2018-02-20,51561.6900,51561.6900,51565.7600,0.0079,0.0000,50379.2900
2018-02-21,51393.7200,51393.7200,51565.7600,0.3336,-167.9800,50102.3800
2018-02-22,51390.1100,51390.1100,51565.7600,0.3406,-3.6100,50151.1600
2018-02-23,51390.1100,51390.1100,51565.7600,0.3406,0.0000,50955.0000
2018-02-26,51299.1100,51299.1100,51565.7600,0.5171,-91.0000,51554.0800
2018-02-27,51363.5300,51363.5300,51565.7600,0.3922,64.4200,50898.9900
2018-02-28,51142.9200,51142.9200,51565.7600,0.8200,-220.6100,50334.2200
2018-03-01,51139.3500,51139.3500,51565.7600,0.8269,-3.5700,49663.5500
2018-03-02,51197.4300,51197.4300,51565.7600,0.7143,58.0800,49915.4200
2018-03-05,51400.1100,51400.1100,51565.7600,0.3212,202.6800,50466.0900
2018-03-06,51391.4000,51391.4000,51565.7600,0.3381,-8.7100,50599.2600
2018-03-07,51589.8600,51589.8600,51589.8600,0.0000,198.4600,50574.7800
2018-03-08,51584.8200,51584.8200,51589.8600,0.0098,-5.0400,50800.5000
2018-03-09,51171.6900,51171.6900,51589.8600,0.8106,-413.1300,51683.3500
2018-03-12,51171.3400,51171.3400,51589.8600,0.8112,-0.3500,51617.5100
2018-03-13,51249.4900,51249.4900,51589.8600,0.6598,78.1500,51289.0400
2018-03-14,51382.4400,51382.4400,51589.8600,0.4021,132.9400,50995.4300
2018-03-15,51340.3000,51340.3000,51589.8600,0.4837,-42.1400,50955.5600
2018-03-16,51189.5700,51189.5700,51589.8600,0.7759,-150.7300,51042.3600
2018-03-19,51106.3800,51106.3800,51589.8600,0.9372,-83.1900,50317.3400
2018-03-20,51105.6600,51105.6600,51589.8600,0.9386,-0.7200,50391.9000
2018-03-21,50854.7400,50854.7400,51589.8600,1.4249,-250.9200,50298.9800
2018-03-22,51123.2600,51123.2600,51589.8600,0.9044,268.5300,49033.3100
2018-03-23,51119.4300,51119.4300,51589.8600,0.9119,-3.8400,48005.2400
2018-03-26,51156.9200,51156.9200,51589.8600,0.8392,37.4900,49308.9300
2018-03-27,51430.8900,51430.8900,51589.8600,0.3081,273.9800,48457.0500
2018-03-28,51526.0600,51526.0600,51589.8600,0.1237,95.1600,48315.7200
2018-03-29,51521.4500,51521.4500,51589.8600,0.1326,-4.6100,48981.0100
2018-04-02,51521.4500,51521.4500,51589.8600,0.1326,0.0000,47886.9000
2018-04-03,51623.6000,51623.6000,51623.6000,0.0000,102.1500,48490.9900
2018-04-04,51432.9100,51432.9100,51623.6000,0.3694,-190.6800,49051.8600
2018-04-05,51445.6600,51445.6600,51623.6000,0.3447,12.7400,49388.5000
2018-04-06,51259.0300,51259.0300,51623.6000,0.7062,-186.6300,48305.8900
2018-04-09,51308.6000,51308.6000,51623.6000,0.6102,49.5700,48467.0600
2018-04-10,51462.1200,51462.1200,51623.6000,0.3128,153.5200,49277.7700
2018-04-11,51760.6100,51760.6100,51760.6100,0.0000,298.4900,49005.4900
2018-04-12,51726.0900,51726.0900,51760.6100,0.0667,-34.5200,49409.8200
2018-04-13,51798.3300,51798.3300,51798.3300,0.0000,72.2400,49267.2000
2018-04-16,51892.3400,51892.3400,51892.3400,0.0000,94.0100,49666.7100
2018-04-17,52124.7700,52124.7700,52124.7700,0.0000,232.4400,50196.2300
2018-04-18,51991.3300,51991.3300,52124.7700,0.2560,-133.4400,50237.9600
2018-04-19,51907.4600,51907.4600,52124.7700,0.4169,-83.8700,49950.2900
2018-04-20,51594.8000,51594.8000,52124.7700,1.0167,-312.6500,49523.8900
2018-04-23,51320.7300,51320.7300,52124.7700,1.5425,-274.0700,49526.6700
2018-04-24,51413.6600,51413.6600,52124.7700,1.3643,92.9300,48863.9800
2018-04-25,51545.2400,51545.2400,52124.7700,1.1118,131.5800,48953.7400
2018-04-26,51577.5800,51577.5800,52124.7700,1.0498,32.3500,49464.5400
2018-04-27,51516.7900,51516.7900,52124.7700,1.1664,-60.7900,49519.6200
2018-04-30,51081.0400,51081.0400,52124.7700,2.0024,-435.7600,49114.1800
2018-05-01,51074.5400,51074.5400,52124.7700,2.0149,-6.5000,49239.3800
2018-05-02,51074.5400,51074.5400,52124.7700,2.0149,0.0000,48884.5600
2018-05-03,51074.5400,51074.5400,52124.7700,2.0149,0.0000,48774.3900
2018-05-04,50854.4000,50854.4000,52124.7700,2.4372,-220.1400,49399.2500
2018-05-07,50779.0400,50779.0400,52124.7700,2.5817,-75.3500,49570.0700
2018-05-08,50805.2600,50805.2600,52124.7700,2.5314,26.2200,49556.9000
2018-05-09,50788.6200,50788.6200,52124.7700,2.5634,-16.6500,50036.7200
2018-05-10,51016.1800,51016.1800,52124.7700,2.1268,227.5700,50505.6000
2018-05-11,51130.8100,51130.8100,52124.7700,1.9069,114.6300,50591.8400
2018-05-14,51300.2200,51300.2200,52124.7700,1.5819,169.4100,50636.5400
2018-05-15,51219.5000,51219.5000,52124.7700,1.7367,-80.7200,50290.0800
2018-05-16,50814.4000,50814.4000,52124.7700,2.5139,-405.1000,50494.2800
2018-05-17,50940.9600,50940.9600,52124.7700,2.2711,126.5600,50451.0700
2018-05-18,50917.0400,50917.0400,52124.7700,2.3170,-23.9200,50318.2700
2018-05-21,50745.6900,50745.6900,52124.7700,2.6457,-171.3500,50689.9600
2018-05-22,50755.0600,50755.0600,52124.7700,2.6278,9.3600,50531.0100
2018-05-23,50686.2400,50686.2400,52124.7700,2.7598,-68.8200,50695.1500
2018-05-24,49939.6300,49939.6300,52124.7700,4.1921,-746.6100,50592.5900
2018-05-25,49976.8600,49976.8600,52124.7700,4.1207,37.2300,50473.3300
2018-05-29,49767.4200,49767.4200,52124.7700,4.5225,-209.4400,49889.6400
2018-05-30,49755.3700,49755.3700,52124.7700,4.5456,-12.0400,50523.0300
2018-05-31,49755.3700,49755.3700,52124.7700,4.5456,0.0000,50175.4600
2018-06-01,49724.0100,49724.0100,52124.7700,4.6058,-31.3700,50719.8200
2018-06-04,49288.7500,49288.7500,52124.7700,5.4408,-435.2600,50947.0300
2018-06-05,49279.5400,49279.5400,52124.7700,5.4585,-9.2100,50982.8200
2018-06-06,49344.3000,49344.3000,52124.7700,5.3343,64.7600,51419.6100
2018-06-07,49583.8900,49583.8900,52124.7700,4.8746,239.5900,51382.8900
2018-06-08,49503.1100,49503.1100,52124.7700,5.0296,-80.7800,51543.5100
2018-06-11,49468.1900,49468.1900,52124.7700,5.0966,-34.9200,51598.5900
2018-06-12,49441.2900,49441.2900,52124.7700,5.1482,-26.9000,51688.5500
2018-06-13,49378.6000,49378.6000,52124.7700,5.2685,-62.6900,51480.4400
2018-06-14,49508.9100,49508.9100,52124.7700,5.0185,130.3100,51607.6800
2018-06-15,49499.3600,49499.3600,52124.7700,5.0368,-9.5500,51555.1900
2018-06-18,49525.7000,49525.7000,52124.7700,4.9862,26.3400,51445.5800
2018-06-19,49520.2000,49520.2000,52124.7700,4.9968,-5.5000,51238.5900
2018-06-20,49520.2000,49520.2000,52124.7700,4.9968,0.0000,51326.3200
