as_of_date,asset,ensemble_avg,signal,direction
2018-01-02,EURUSD,0.0,0,FLAT
2018-01-02,GBPJPY,0.0,0,FLAT
2018-01-03,EURUSD,0.318,1,LONG
2018-01-03,GBPJPY,0.7367,1,LONG
2018-01-04,EURUSD,0.4238,1,LONG
2018-01-04,GBPJPY,0.7367,1,LONG
2018-01-05,EURUSD,0.5505,1,LONG
2018-01-05,GBPJPY,0.5711,1,LONG
2018-01-08,EURUSD,0.2915,1,LONG
2018-01-08,GBPJPY,0.7367,1,LONG
2018-01-09,EURUSD,0.7995,1,LONG
2018-01-09,GBPJPY,0.7367,1,LONG
2018-01-10,EURUSD,0.9405,1,LONG
2018-01-10,GBPJPY,0.5653,1,LONG
2018-01-11,EURUSD,0.9735,1,LONG
2018-01-11,GBPJPY,0.319,1,LONG
2018-01-12,EURUSD,0.9329,1,LONG
2018-01-12,GBPJPY,-0.4517,-1,SHORT
2018-01-16,EURUSD,0.4248,1,LONG
2018-01-16,GBPJPY,-0.2172,0,FLAT
2018-01-17,EURUSD,-0.3527,-1,SHORT
2018-01-17,GBPJPY,-0.0577,0,FLAT
2018-01-18,EURUSD,-0.6194,-1,SHORT
2018-01-18,GBPJPY,-0.2841,-1,SHORT
2018-01-19,EURUSD,-0.227,0,FLAT
2018-01-19,GBPJPY,-0.0229,0,FLAT
2018-01-22,EURUSD,-0.2419,0,FLAT
2018-01-22,GBPJPY,0.4039,1,LONG
2018-01-23,EURUSD,-0.0667,0,FLAT
2018-01-23,GBPJPY,0.4239,1,LONG
2018-01-24,EURUSD,0.3111,1,LONG
2018-01-24,GBPJPY,0.5617,1,LONG
2018-01-25,EURUSD,0.3111,1,LONG
2018-01-25,GBPJPY,-0.1372,0,FLAT
2018-01-26,EURUSD,0.3333,1,LONG
2018-01-26,GBPJPY,0.0285,0,FLAT
2018-01-29,EURUSD,0.3333,1,LONG
2018-01-29,GBPJPY,0.0999,0,FLAT
2018-01-30,EURUSD,0.3333,1,LONG
2018-01-30,GBPJPY,-0.2364,0,FLAT
2018-01-31,EURUSD,0.1283,0,FLAT
